,OBJECTID,TRACTCE10,POP,LATPOP_D,WHIPOP_D,BLAPOP_D,AMIPOP_D,ASIPOP_D,HPIPOP_D,OTHPOP_D,MMRPOP_D,VAP,LATVAP_D,WHIVAP_D,BLAVAP_D,AMIVAP_D,ASIVAP_D,HPIVAP_D,OTHVAP_D,MMRVAP_D,H0010001,H0010002,H0010003,TOOLTIP,NLA_URL
218,219,127220,4931,3145,946,252,13,538,10,11,16,3642,2160,801,179,8,465,10,9,10,1658,1585,73,Tract: 1272.20\nTotal Population: 4931,navigatela/reports/census_tracts_2010.cfm?PK=127220
219,220,127300,4460,2184,1329,375,19,484,9,27,33,3509,1557,1167,308,16,414,8,15,24,1761,1637,124,Tract: 1273.00\nTotal Population: 4460,navigatela/reports/census_tracts_2010.cfm?PK=127300
220,221,127400,5818,4259,892,303,14,288,10,25,27,4096,2804,755,239,12,240,9,17,20,1809,1719,90,Tract: 1274.00\nTotal Population: 5818,navigatela/reports/census_tracts_2010.cfm?PK=127400
221,222,127520,4045,3318,251,126,7,274,2,45,22,2713,2131,229,108,3,205,2,21,14,1239,1163,76,Tract: 1275.20\nTotal Population: 4045,navigatela/reports/census_tracts_2010.cfm?PK=127520
222,223,127603,2938,2190,411,129,8,175,5,6,14,2086,1476,350,100,7,135,5,4,9,897,843,54,Tract: 1276.03\nTotal Population: 2938,navigatela/reports/census_tracts_2010.cfm?PK=127603
223,224,127604,2939,1562,817,214,6,292,10,17,21,2241,1052,728,173,5,244,7,15,17,1204,1137,67,Tract: 1276.04\nTotal Population: 2939,navigatela/reports/census_tracts_2010.cfm?PK=127604
224,225,127605,3549,2579,504,220,8,216,3,9,10,2501,1728,423,154,6,177,3,4,6,1117,1062,55,Tract: 1276.05\nTotal Population: 3549,navigatela/reports/census_tracts_2010.cfm?PK=127605
225,226,127606,3164,1925,766,183,10,245,7,16,12,2356,1302,676,144,10,198,6,12,8,1107,1042,65,Tract: 1276.06\nTotal Population: 3164,navigatela/reports/census_tracts_2010.cfm?PK=127606
226,227,127711,3356,1854,1059,158,17,224,5,18,21,2533,1297,892,122,17,175,5,8,17,1187,1114,73,Tract: 1277.11\nTotal Population: 3356,navigatela/reports/census_tracts_2010.cfm?PK=127711
227,228,127712,2991,1785,737,198,6,236,6,10,13,2257,1244,643,157,6,187,6,5,9,1166,1060,106,Tract: 1277.12\nTotal Population: 2991,navigatela/reports/census_tracts_2010.cfm?PK=127712
228,229,127803,4037,2633,854,153,13,337,2,17,28,2978,1797,739,120,9,285,2,8,18,1379,1263,116,Tract: 1278.03\nTotal Population: 4037,navigatela/reports/census_tracts_2010.cfm?PK=127803
229,230,127804,3933,2001,1103,281,14,480,3,12,39,2999,1360,973,220,14,393,1,10,28,1546,1425,121,Tract: 1278.04\nTotal Population: 3933,navigatela/reports/census_tracts_2010.cfm?PK=127804
230,231,127805,3768,2274,1042,169,14,243,1,12,13,2923,1600,953,136,13,202,1,9,9,1202,1136,66,Tract: 1278.05\nTotal Population: 3768,navigatela/reports/census_tracts_2010.cfm?PK=127805
231,232,127806,3447,2096,810,205,14,275,10,15,22,2639,1516,684,163,12,235,9,7,13,1263,1200,63,Tract: 1278.06\nTotal Population: 3447,navigatela/reports/census_tracts_2010.cfm?PK=127806
232,233,127910,4769,3201,964,247,7,264,14,55,17,3501,2222,826,188,6,217,12,13,17,1569,1454,115,Tract: 1279.10\nTotal Population: 4769,navigatela/reports/census_tracts_2010.cfm?PK=127910
233,234,127920,4100,2237,1385,131,7,296,14,13,17,3073,1548,1144,104,6,239,10,8,14,1312,1244,68,Tract: 1279.20\nTotal Population: 4100,navigatela/reports/census_tracts_2010.cfm?PK=127920
234,235,128101,3738,1775,1571,132,3,194,17,30,16,2796,1244,1250,95,3,167,12,13,12,1262,1211,51,Tract: 1281.01\nTotal Population: 3738,navigatela/reports/census_tracts_2010.cfm?PK=128101
235,236,128102,4795,3265,871,287,18,307,13,16,18,3536,2232,742,241,16,272,9,9,15,1475,1387,88,Tract: 1281.02\nTotal Population: 4795,navigatela/reports/census_tracts_2010.cfm?PK=128102
236,237,128210,4822,3814,533,220,13,197,2,19,24,3411,2588,452,170,10,161,2,8,20,1541,1429,112,Tract: 1282.10\nTotal Population: 4822,navigatela/reports/census_tracts_2010.cfm?PK=128210
237,238,128220,3011,1340,1353,135,5,152,3,14,9,2337,939,1144,106,5,124,3,9,7,1205,1131,74,Tract: 1282.20\nTotal Population: 3011,navigatela/reports/census_tracts_2010.cfm?PK=128220
238,239,128302,4688,3648,610,195,12,179,1,33,10,3429,2539,543,164,11,143,1,18,10,1488,1382,106,Tract: 1283.02\nTotal Population: 4688,navigatela/reports/census_tracts_2010.cfm?PK=128302
239,240,128303,3982,3402,289,118,12,144,0,12,5,2811,2360,229,84,11,119,0,4,4,1127,1056,71,Tract: 1283.03\nTotal Population: 3982,navigatela/reports/census_tracts_2010.cfm?PK=128303
